FA1,GGBS,SF,MK,FA2,CA,Molarity,NaOH,Na2SiO3,Water,F_V (vol%),F_D,F_L,F_M,days,Tem,Com
415.0,0.0,0.0,0.0,553.0,1303.0,14.0,42.0,104.0,21.0,0.5,0.5,25.0,205.0,7.0,20,41.9
414.0,0.0,0.0,0.0,551.0,1301.0,14.0,42.0,104.0,22.0,0.75,0.5,25.0,205.0,7.0,20,42.9
413.0,0.0,0.0,0.0,550.0,1297.0,14.0,42.0,104.0,24.0,1.0,0.5,25.0,205.0,7.0,20,43.8
416.5,0.0,0.0,0.0,555.0,1309.0,14.0,42.0,104.0,20.0,0.15,0.012,12.0,80.0,28.0,20,51.82
416.0,0.0,0.0,0.0,554.0,1307.0,14.0,42.0,104.0,22.0,0.3,0.012,12.0,80.0,28.0,20,52.73
415.0,0.0,0.0,0.0,553.0,1305.0,14.0,42.0,104.0,24.0,0.5,0.012,12.0,80.0,28.0,20,53.52
416.0,0.0,0.0,0.0,554.0,1309.0,14.0,42.0,104.0,20.0,0.25,0.5,25.0,205.0,28.0,20,52.07
415.0,0.0,0.0,0.0,553.0,1303.0,14.0,42.0,104.0,21.0,0.5,0.5,25.0,205.0,28.0,20,53.78
414.0,0.0,0.0,0.0,551.0,1301.0,14.0,42.0,104.0,22.0,0.75,0.5,25.0,205.0,28.0,20,54.62
413.0,0.0,0.0,0.0,550.0,1297.0,14.0,42.0,104.0,24.0,1.0,0.5,25.0,205.0,28.0,20,55.17
270.0,180.0,0.0,0.0,550.0,1281.0,14.0,45.0,112.5,86.4,1.5,0.14,19.0,70.0,28.0,20,52.0
270.0,180.0,0.0,0.0,552.0,1295.0,14.0,45.0,112.5,86.4,0.0,0.0,0.0,0.0,7.0,20,34.5
270.0,180.0,0.0,0.0,550.0,1281.0,14.0,45.0,112.5,86.4,1.5,0.14,19.0,70.0,7.0,20,33.7
270.0,180.0,0.0,0.0,552.0,1295.0,14.0,45.0,112.5,86.4,0.0,0.0,0.0,0.0,56.0,20,58.7
270.0,180.0,0.0,0.0,550.0,1281.0,14.0,45.0,112.5,86.4,1.5,0.14,19.0,70.0,56.0,20,57.0
184.0,184.0,41.0,0.0,0.0,0.0,14.0,70.0,101.0,0.0,0.0,0.0,0.0,0.0,28.0,20,41.3
184.0,184.0,41.0,0.0,0.0,0.0,14.0,70.0,101.0,0.0,1.5,0.5,30.0,205.0,28.0,20,62.1
